name,price_eur,size_m2,plot_size_m2,free_area_m2,rooms,location,postcode,lat,lon,url,platform,property_type,description
"""Ruhe-Oase mit spektakulären Weitblick: Hochwertiges Landhaus für gehobene Ansprüche."" Lichtdurchflutetes Juwel in begehrter Ruhe und Naturlage im wun",€ 599.000,216.0,,50.0,0.0,Slowenien,9240,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/slowenien/-ruhe-oase-mit-spektakulaeren-weitblick-hochwertiges-landhaus-fuer-gehobene-ansprueche-lichtdurchflutetes-juwel-in-begehrter-ruhe-und-naturlage-im-wunderschoenen-slowenien-9240-ljutomer-einziehen-und-wohlfuehlen-1055255495/,willhaben.at,Landhaus,"""Ruhe-Oase mit spektakulären Weitblick: Hochwertiges Landhaus für gehobene Ansprüche."" Lichtdurchflutetes Juwel in begehrter Ruhe und Naturlage im wunderschönen Slowenien, 9240 Ljutomer. Einziehen und Wohlfühlen!"
EIN ITALIENISCHER TRAUM - Exklusives Anwesen im Herzen Friaul-Julisch Venetiens,Preis auf Anfrage,350.0,,,0.0,Italien,,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/italien/ein-italienischer-traum-exklusives-anwesen-im-herzen-friaul-julisch-venetiens-2100676686/,willhaben.at,Landhaus,EIN ITALIENISCHER TRAUM - Exklusives Anwesen im Herzen Friaul-Julisch Venetiens
Schönes Landhaus mit viel Umschwung zu verkaufen,€ 350.000,258.0,,60.0,5.0,Ungarn,6041,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/ungarn/schoenes-landhaus-mit-viel-umschwung-zu-verkaufen-931149516/,willhaben.at,Landhaus,Schönes Landhaus mit viel Umschwung zu verkaufen
Renoviertes Haus in ungarischer Thermengegend (Nähe Lenti-Bezirk Zala) zu verkaufen,€ 109.000,101.0,,1172.0,0.0,Ungarn,,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/ungarn/renoviertes-haus-in-ungarischer-thermengegend-naehe-lenti-bezirk-zala-zu-verkaufen-2046494272/,willhaben.at,Landhaus,Renoviertes Haus in ungarischer Thermengegend (Nähe Lenti-Bezirk Zala) zu verkaufen
Zentral-Kroatien: Großes Anwesen mit Öko Holz-Haus in Zentral Kroatien,€ 195.000,110.0,,25.0,0.0,Kroatien,44415,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/kroatien/zentral-kroatien-grosses-anwesen-mit-oeko-holz-haus-in-zentral-kroatien-1182327772/,willhaben.at,Landhaus,Zentral-Kroatien: Großes Anwesen mit Öko Holz-Haus in Zentral Kroatien
Traumhaftes historisches Anwesen - ländlicher Charme der auf modernen Wohnkomfort trifft,€ 1.250.000,490.0,,,12.0,Deutschland,83416,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/deutschland/traumhaftes-historisches-anwesen-laendlicher-charme-der-auf-modernen-wohnkomfort-trifft-1465213171/,willhaben.at,Landhaus,Traumhaftes historisches Anwesen - ländlicher Charme der auf modernen Wohnkomfort trifft
"Ein Schmuckkästchen: Gepflegtes LANDHAUS mit Garten in Ungarn, nahe der österreichischen Grenze",€ 358.000,255.0,,,8.0,Ungarn,9476,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/ungarn/ein-schmuckkaestchen-gepflegtes-landhaus-mit-garten-in-ungarn-nahe-der-oesterreichischen-grenze-1911170994/,willhaben.at,Landhaus,"Ein Schmuckkästchen: Gepflegtes LANDHAUS mit Garten in Ungarn, nahe der österreichischen Grenze"
** RUHE - ERHOLUNG - GENUSS - EINFACH SCHÖNER WOHNEN **,€ 589.000,175.0,,,6.0,Völkermarkt,,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/kaernten/voelkermarkt/-ruhe-erholung-genuss-einfach-schoener-wohnen-1941209116/,willhaben.at,Landhaus,** RUHE - ERHOLUNG - GENUSS - EINFACH SCHÖNER WOHNEN **
Süd-Kroatien: Landhaus auf großem Anwesen in traumhafter Naturgegend nur 50min vom Meer,€ 175.000,250.0,,20020.0,5.0,Kroatien,53220,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/kroatien/sued-kroatien-landhaus-auf-grossem-anwesen-in-traumhafter-naturgegend-nur-50min-vom-meer-1175170726/,willhaben.at,Landgut,Süd-Kroatien: Landhaus auf großem Anwesen in traumhafter Naturgegend nur 50min vom Meer
Kroatien: Kleines Landgut in traumhafter Naturlage,€ 158.000,135.0,,1000.0,0.0,Kroatien,43203,,,https://www.willhaben.at/iad/immobilien/d/haus-kaufen/andere-laender/kroatien/kroatien-kleines-landgut-in-traumhafter-naturlage-761381087/,willhaben.at,Landgut,Kroatien: Kleines Landgut in traumhafter Naturlage
