stop_id,min_travel_min,stop_name,stop_lat,stop_lon
at:43:3481:0:1,41,Gaisruck Bahnhof,48.39408649,16.06487766
sk:56:7:0:1,42,Devínska Nová Ves,48.2191121,16.97650597
at:43:3885:0:3,42,Kirchstetten Bahnhof,48.19030858,15.82123658
at:43:3318:0:5,42,Ebenfurth Bahnhof,47.877751,16.36241764
at:43:3622:0:2,42,Gänserndorf Bahnhof A,48.33972969,16.73155336
at:43:7223:0:4,43,Markersdorf an der Pielach Bf.,48.19639273,15.49658544
at:43:3780:0:9,43,Hollabrunn Bahnhof,48.56296238,16.07232469
at:43:4423:0:1,43,Oberwaltersdorf Bahnhof,47.97528426,16.32843438
at:43:3647:0:1,43,Göllersdorf Bahnhof,48.49200641,16.12700514
at:41:5970:0:1,43,Gattendorf Bahnhof,48.01064521,16.98084483
hu:17905:27000493:27000459,43,Hegyeshalom pályaudvar,47.91340149,17.1467457
at:43:8758:0:6,43,Neunkirchen Bahnhof,47.73157445,16.08482025
at:43:3090:0:1,43,Bad Vöslau Bahnhof,47.96957687,16.22379861
at:43:4142:0:3,44,Maria Ellend Bahnhof,48.10982328,16.68813778
at:43:4440:0:4,44,Ollersbach Bahnhof,48.19163805,15.8480513
at:41:5312:0:3,44,Zurndorf Bahnhof,47.9680612,17.0239999
at:43:4025:0:4,45,Ladendorf Bahnhof,48.53596478,16.50983118
at:43:3712:0:1,45,Hautzendorf Bahnhof,48.45113207,16.49288896
at:43:3264:0:1,46,Böheimkirchen Bahnhof,48.1999375,15.75407853
at:41:3831:0:1,46,Jois Bahnhof,47.95667427,16.7907703
at:43:7224:0:2,46,Groß Sierning Bahnhof,48.18814063,15.45672719
at:43:4978:0:1,46,Tattendorf Bahnhof,47.95563951,16.30600344
at:43:3204:0:1,46,Breitensee Bahnhof,48.25477821,16.87839198
at:43:5072:0:2,46,Untereggendorf Bahnhof,47.86142032,16.3213287
at:43:3706:0:1,47,Haslau an der Donau Bahnhof,48.10969731,16.71048787
sk:56:1:0:1,47,Bratislava hlavná stanica,48.15872645,17.10651016
at:43:7225:0:4,47,Loosdorf/Melk Bahnhof,48.19491967,15.40458897
at:43:3004:0:3,47,Absdorf-Hippersdorf Bahnhof,48.401542,15.98639185
at:43:3205:0:1,47,Breitenwaida Bahnhof,48.51505852,16.07473217
at:43:4084:0:4,47,Leobersdorf Bahnhof,47.93818997,16.23102107
at:43:4395:0:3,48,Obereggendorf Bahnhof,47.84968436,16.29676876
at:41:5248:0:1,48,Winden am See Bahnhof,47.94699972,16.75896096
at:43:3616:0:1,48,Guntramsdorf Thallern Bahnhof,48.05187903,16.2973347
at:43:4202:0:8,49,Mistelbach Bahnhof,48.56574457,16.56388281
at:41:5971:0:1,49,Pama Bahnhof,48.04207217,17.04134637
at:41:4367:0:1,49,Nickelsdorf Bahnhof,47.94256494,17.08666638
at:41:4348:0:1,49,Neusiedl am See Bad Bahnhof,47.94269131,16.84497465
at:43:3733:0:4,49,Hetzmannsdorf-Wullersdorf Bhf.,48.61717566,16.09161152
at:43:4983:0:1,49,Teesdorf Bahnhof,47.9427575,16.2900314
at:43:4639:0:4,50,Regelsbrunn Bahnhof,48.1069741,16.78039476
at:43:3602:0:1,50,Gumpoldskirchen Bahnhof,48.04106916,16.28495592
at:41:3186:0:1,50,Breitenbrunn Bahnhof,47.94122902,16.74638455
at:41:5972:0:1,50,Kittsee Bahnhof,48.08151647,17.07149383
at:43:4318:0:4,50,Neubau-Kreuzstetten Bahnhof,48.49740582,16.50076718
at:43:7226:0:2,51,Melk Bahnhof,48.22460035,15.3308283
at:43:5189:0:2,51,Weikendorf-Dörfles Bahnhof,48.34972452,16.75939215
at:43:8761:0:5,51,Gloggnitz Bahnhof,47.67753601,15.94526698
at:43:4207:0:1,52,Mistelbach Stadt,48.57093402,16.5689044
at:41:5157:0:1,52,Weiden am See Bahnhof,47.92576711,16.86384825
at:43:7034:0:3,53,Pitten Bahnhof,47.7171318,16.17953862
at:43:3608:0:1,53,Guntersdorf Bahnhof,48.64225426,16.0537655
at:43:3415:0:1,53,Felixdorf Bahnhof,47.88745056,16.24792736
at:43:3046:0:1,54,Angern,48.38448815,16.82614596
at:41:4177:0:1,54,Mattersburg Bahnhof,47.73569501,16.40895038
cz:0:5433425:0:1,54,Břeclav,48.75398841,16.8929357
at:43:4533:0:1,54,Pfaffstätten Bahnhof,48.01822884,16.25880596
at:43:4975:0:2,54,Tallesbrunn Bahnhof,48.36359701,16.78623381
at:43:5235:0:1,54,Wildungsmauer Bahnhof,48.10802381,16.80219687
at:41:4592:0:3,54,Purbach am Neusiedler See Bf.,47.90621795,16.69856722
at:43:99985:0:1,55,Kittsee Tarifpunkt A6/Staatsgrenze,48.102919,17.08437567
at:43:4556:0:4,56,Pottenbrunn Bahnhof,48.22376249,15.70265897
at:41:3531:0:1,56,Gols Bahnhof,47.8919021,16.90464075
at:43:4801:0:1,56,Sollenau Bahnhof,47.89821433,16.24564564
at:43:4765:0:1,57,Siebenhirten (NÖ) Haltestelle,48.61111788,16.53189381
at:41:4176:0:1,57,Marz-Rohrbach Bahnhof,47.71745817,16.42893789
at:43:7234:0:5,57,Amstetten Bahnhof,48.12159619,14.87922724
at:43:4531:0:4,57,Petronell-Carnuntum Bahnhof,48.10590037,16.86775592
at:41:3298:0:1,58,Donnerskirchen Bahnhof,47.88857101,16.66041577
at:43:7227:0:1,58,Pöchlarn Bahnhof,48.20821165,15.21633802
sk:56:2:0:1,59,Bratislava-Petržalka stanica,48.12116442,17.09941347
at:43:8763:0:5,59,Payerbach-Reichenau Bahnhof,47.69614959,15.86300824
at:43:3806:0:1,59,Hörersdorf Bahnhof,48.62007363,16.51667634
at:43:4552:0:1,60,Platt Bahnhof,48.67456377,15.96613484
at:43:4882:0:3,60,Stillfried Bahnhof,48.41120271,16.84656467
at:43:3310:0:3,61,Dürnkrut Bahnhof,48.47042686,16.86061432
at:41:4309:0:1,61,Mönchhof-Halbturn Bahnhof,47.87406951,16.94808328
at:41:4731:0:1,61,Schützen am Gebirge Haltestelle,47.85155916,16.63049289
at:43:7038:0:3,62,Scheiblingkirchen-Warth Bhf.,47.66205591,16.13098468
at:41:4109:0:4,62,Loipersbach-Schattendorf Bhf.,47.70062965,16.49201759
at:43:3449:0:2,62,Frättingsdorf Bahnhof,48.64243827,16.51362207
at:43:4455:0:1,63,Paasdorf Bahnhof,48.54637305,16.53498401
at:43:3079:0:3,63,Bad Deutsch-Altenburg Bahnhof,48.13264096,16.91077624
at:41:4732:0:4,63,Schützen am Gebirge Bahnhof,47.84821341,16.61933582
at:43:7032:0:4,63,Bad Erlach Bahnhof,47.73193094,16.21177017
at:43:3989:0:1,64,Kottingbrunn Bahnhof,47.95014053,16.22693373
at:43:7230:0:5,64,Ybbs/Donau Bahnhof,48.15910996,15.09977263
at:43:5303:0:3,64,Zellerndorf Bahnhof,48.69574803,15.96792249
at:43:7092:0:1,64,Bad Fischau Bahnhof,47.8314935,16.17162446
at:43:3681:0:1,66,Hainburg/Donau Kulturfabrik Bhf.,48.14467238,16.93182377
at:41:3443:0:1,66,Frauenkirchen Bahnhof,47.83977273,16.91585172
at:43:3388:0:1,66,Enzersdorf bei Staatz Bahnhof,48.67258841,16.51110679
at:43:7894:0:4,66,Ulmerfeld-Hausmening Bahnhof,48.07487849,14.81568042
at:43:5057:0:1,67,Tulln Stadt Bahnhof,48.32832339,16.05339719
at:43:7093:0:2,67,Feuerwerksanstalt Bahnhof,47.84878612,16.18932127
at:43:8757:0:1,67,St. Egyden/Stfd Bahnhof,47.76089461,16.14637282
at:43:3309:0:1,67,Drösing Bahnhof,48.5401224,16.89581929
at:41:3490:0:1,67,Eisenstadt Schule,47.84387266,16.53669979
at:43:7091:0:5,68,Bad Fischau-Brunn Bahnhof,47.82677743,16.17306177
at:43:3830:0:2,68,Jedenspeigen Bahnhof,48.49540567,16.87865249
at:43:7040:0:3,68,Edlitz-Grimmenstein Bahnhof,47.61733204,16.12807414
at:41:3351:0:4,69,Eisenstadt Bahnhof,47.83939287,16.52943242
at:43:7094:0:2,70,Wöllersdorf Bahnhof,47.86140224,16.17826301
at:43:8022:0:1,70,Brunn an der Schneebergbahn Bhf.,47.8255893,16.1573143
hu:08518:27001898:27001524,70,Sopron pályaudvar,47.6775602,16.58687968
at:43:7228:0:2,70,Krummnußbaum Bahnhof,48.20785246,15.1592411
at:43:7231:0:4,70,Neumarkt/Ybbs-Karlsbach Bf.,48.14217881,15.05063478
at:43:4852:0:1,70,Staatz Bahnhof,48.69974428,16.49260149
at:43:3677:0:1,70,Hainburg/Donau Ungartor/B9,48.14820274,16.94837074
at:41:4821:0:1,71,St. Andrä am Zicksee Bahnhof,47.7825932,16.92805983
at:43:4787:0:3,71,Sierndorf an der March Bahnhof,48.51116665,16.89113907
at:43:3686:0:1,71,Hainburg/Donau Personenbhf.,48.14892197,16.93981878
at:43:4656:0:4,71,Retz Bahnhof,48.7535383,15.95707982
at:43:3778:0:3,72,Hohenau,48.59848328,16.90089477
at:43:7106:0:1,73,Wöllersdorf Marchgraben Bf,47.86497012,16.16499489
